dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.004231684375554323,0.55,0.4,0.88,481,120,11,109,11,0.9805194805194806,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,1723,0.001059470814652741
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.04256324842572212,0.5522388059701493,0.44047619047619047,0.74,481,120,11,109,11,0.9924242424242424,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,1723,0.001059470814652741
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.012302516959607601,0.5436893203883495,0.5283018867924528,0.56,481,120,11,109,11,0.9757575757575757,0.8,0.7142857142857143,0.9090909090909091,105,4,1,10,16,1723,0.001059470814652741
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.0047662085853517056,0.5402298850574713,0.3790322580645161,0.94,481,120,11,109,11,0.9757575757575757,0.7096774193548387,0.55,1.0,100,9,0,11,16,1723,0.001059470814652741
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.014857997186481953,0.7297297297297298,1.0,0.574468085106383,472,132,14,118,13,0.6730875404788449,0.0,0.0,0.0,118,0,14,0,16,2660,0.001297981129027903
turning,cnn_ae,global_mae,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.08020474016666412,0.7123287671232876,1.0,0.5531914893617021,472,132,14,118,13,0.7298705468809598,0.0,0.0,0.0,117,1,14,0,16,2660,0.001297981129027903
turning,cnn_ae,ver_max,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.021584929898381233,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.5680413861451014,0.0,0.0,0.0,117,1,14,0,16,2660,0.001297981129027903
turning,cnn_ae,ver_topk,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.01707608439028263,0.7272727272727273,0.9333333333333333,0.5957446808510638,472,132,14,118,13,0.6039344531825735,0.23529411764705882,0.6666666666666666,0.14285714285714285,117,1,12,2,16,2660,0.001297981129027903
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.01975804939866066,0.5507246376811594,0.8260869565217391,0.41304347826086957,469,136,15,121,11,1.0,0.9285714285714286,1.0,0.8666666666666667,121,0,2,13,32,4000,0.005306706763803959
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.10397546738386154,0.5373134328358209,0.8571428571428571,0.391304347826087,469,136,15,121,11,0.9958333333333333,0.8888888888888888,1.0,0.8,121,0,3,12,32,4000,0.005306706763803959
